PartNumber,PartDescription,active,ItemCost,ItemCurrencyCode,Length,Width,Height,DimensionUOM,Weight,WeightUOM,Quantity
05-0227-01,"OP PAS,MUX-BIDIRECTIONNEL-1528/1536,5",TRUE,131.4,USD,,,,,,,0
05-0287-01,"OP PAS,ASM SPLT.SM 1X2 1/99 1550nm",TRUE,9.72,USD,,,,,,,0
05-0290-01,"OP PAS,ASM SPLT. SM 1X2 5/95 1550nm",TRUE,11.86,USD,,,,,,,0
05-0306-01,"OP PAS,COUPLEUR OPT MONO (95/5%) 1X2 130",TRUE,11.2,USD,,,,,,,0
05-0326-01,"OP PAS,Crom.disp.comp.positive 150ps/nm-",TRUE,1512,USD,,,,,,,0
05-0327-01,"OP PAS,Crom.disp.comp.positive 200ps/nm-",TRUE,1764,USD,,,,,,,0
05-0328-01,"OP PAS,Crom.disp.comp.positive 250ps/nm-",TRUE,2016,USD,,,,,,,0
05-0329-01,"OP PAS,Crom.disp.comp.positive 300ps/nm-",TRUE,2268,USD,,,,,,,0
05-0330-01,"OP PAS,Crom.disp.comp.positive 350ps/nm-",TRUE,2562,USD,,,,,,,0
05-0331-01,"OP PAS,Crom.disp.comp.positive 400ps/nm-",TRUE,2787,USD,,,,,,,0
05-0332-01,"OP PAS,Crom.disp.comp.positive 450ps/nm-",TRUE,3024,USD,,,,,,,0
05-0333-01,"OP PAS,Crom.disp.comp.positive 500ps/nm-",TRUE,50,USD,,,,,,,0
05-0334-01,"OP PAS,Crom.disp.comp.negative 150ps/nm-",TRUE,1505,USD,,,,,,,0
05-0335-01,"OP PAS,Crom.disp.comp.negative 200ps/nm-",TRUE,1806,USD,,,,,,,0
05-0336-01,"OP PAS,Crom.disp.comp.negative 250ps/nm-",TRUE,2098,USD,,,,,,,0
05-0337-01,"OP PAS,Crom.disp.comp.negative 300ps/nm-",TRUE,2399,USD,,,,,,,0
05-0338-01,"OP PAS,Crom.disp.comp.negative 350ps/nm-",TRUE,2630,USD,,,,,,,0
05-0339-01,"OP PAS,Crom.disp.comp.negative 400ps/nm-",TRUE,2991,USD,,,,,,,0
05-0340-01,"OP PAS,Crom.disp.comp.negative 450ps/nm-",TRUE,3292,USD,,,,,,,0
05-0342-01,"OP PAS,Crom.disp.comp.positive 150ps/nm-",TRUE,1512,USD,,,,,,,0
05-0343-01,"OP PAS,Crom.disp.comp.positive 200ps/nm-",TRUE,1614,USD,,,,,,,0
